MouseID,GROUP,CODE,AGE,DOB,SUBEXPT,EXPT,DELTAT,ROIAreapx,SubROI_SubroiAGGR,MajorROI,System,nonzeropixels,Ch1m05sd,Ch1m05sdm05sd,Ch1m05sd1,Ch1Total,Ch2m05sd,Ch2m05sdm05sd,Ch2m05sd1,Ch2Total,Ch3m05sd,Ch3m05sdm05sd,Ch3m05sd1,Ch3Total,Ch4m05sd,Ch4m05sdm05sd,Ch4m05sd1,Ch4Total,OLm05sd,OLm05sdm05sd,OLm05sd1,OLTotal,PopMeans_subroiIndex,SubROI_SubroiAreaPX_PopMean,ROIAreapx_PopMean,Sample_roiAreaMM2,Pop_roiAreaMM2,areaNormFactor,Ch1m05sdperMM2,Ch1m05sdm05sdperMM2,Ch1m05sd1perMM2,Ch1TotalperMM2,Ch2m05sdperMM2,Ch2m05sdm05sdperMM2,Ch2m05sd1perMM2,Ch2TotalperMM2,Ch3m05sdperMM2,Ch3m05sdm05sdperMM2,Ch3m05sd1perMM2,Ch3TotalperMM2,Ch4m05sdperMM2,Ch4m05sdm05sdperMM2,Ch4m05sd1perMM2,Ch4TotalperMM2,OLm05sdperMM2,OLm05sdm05sdperMM2,OLm05sd1perMM2,OLTotalperMM2,Ch1m05sd_COUNTnormd,Ch1m05sdm05sd_COUNTnormd,Ch1m05sd1_COUNTnormd,Ch1Total_COUNTnormd,Ch2m05sd_COUNTnormd,Ch2m05sdm05sd_COUNTnormd,Ch2m05sd1_COUNTnormd,Ch2Total_COUNTnormd,Ch3m05sd_COUNTnormd,Ch3m05sdm05sd_COUNTnormd,Ch3m05sd1_COUNTnormd,Ch3Total_COUNTnormd,Ch4m05sd_COUNTnormd,Ch4m05sdm05sd_COUNTnormd,Ch4m05sd1_COUNTnormd,Ch4Total_COUNTnormd,OLm05sd_COUNTnormd,OLm05sdm05sd_COUNTnormd,OLm05sd1_COUNTnormd,OLTotal_COUNTnormd
3541,CAA,3,100,,11,11,101,4249428,PALd,PALd,STRIATUM,138.8581267,985.15,835.6166667,395.3833333,2216.15,0,10262.93333,361.2666667,10624.2,2259.533333,3613.45,2709.016667,8582,3996.983333,3009.15,839,7845.133333,50,1576.166667,119.6833333,1745.85,46,PALd,3462277.392,6.533920493,5.323597718,1.227350532,150.774715,127.8890166,60.51241881,339.1761504,0,1570.71598,55.2909493,1626.00693,345.8158598,553.0293801,414.6081468,1313.453387,611.7281864,460.5427941,128.4068273,1200.677808,7.652373495,241.2283205,18.31723136,267.1979253,802.6639286,680.8296772,322.1437747,1805.637381,0,8361.86001,294.3467715,8656.206781,1840.984522,2944.105946,2207.206984,6992.297453,3256.594777,2451.744568,683.5862926,6391.925638,40.73815808,1284.202536,97.51357105,1422.454266
3542,CAA,4,100,,11,11,100,4498065,PALd,PALd,STRIATUM,171.8396071,1182.047619,1209.880952,511.6428571,2903.571429,0,12306.7619,426.7142857,12733.47619,3733.761905,4431.309524,2772.904762,10937.97619,6046.738095,4763.166667,777.047619,11586.95238,156.7380952,2216.02381,207.4761905,2580.238095,46,PALd,3462277.392,6.916224744,5.323597718,1.299163669,170.9093708,174.9337243,73.97718786,419.8202829,0,1779.404568,61.69757368,1841.102142,539.855491,640.7121931,400.9275095,1581.495194,874.2830546,688.6946048,112.3514125,1675.329072,22.66237739,320.4094562,29.99847433,373.070308,909.8527362,931.2767754,393.8247885,2234.9543,0,9472.834099,328.4530624,9801.287162,2873.97346,3410.893969,2134.376775,8419.244204,4654.331274,3666.333027,598.1137231,8918.778024,120.6453805,1705.73105,159.6998095,1986.07624
3595,SAA,1,98,,11,11,93,4867212,PALd,PALd,STRIATUM,194.3542033,2445.695238,2779.247619,1990.083333,7215.02619,13.8,13286.61667,499.8190476,13800.23571,3883.288095,5516.257143,2127.17381,11526.71905,7610.307143,4988.07381,994.5190476,13592.9,206.7404762,2348.969048,202.3738095,2758.083333,46,PALd,3462277.392,7.483825171,5.323597718,1.405783376,326.7974842,371.3672561,265.9179347,964.082675,1.843976801,1775.377746,66.78657454,1844.008298,518.8908087,737.0905943,284.2361708,1540.217574,1016.900712,666.5139411,132.8891342,1816.303787,27.62497406,313.8727848,27.04149347,368.5392524,1739.738341,1977.009877,1415.640111,5132.388329,9.816590691,9451.396919,355.5448558,9816.758366,2762.365925,3923.973806,1513.15903,8199.498761,5413.570308,3548.252096,707.4482917,9669.270696,147.0642488,1670.932441,143.958033,1961.954723
3596,CAB,2,98,,11,11,109,2374180,PALd,PALd,STRIATUM,67.08515,1040.5,1086,691,2817.5,0,7065.5,556.5,7622,1850.5,2085,516,4451.5,2444.5,1423.5,438,4306,57,879.5,126,1062.5,46,PALd,3462277.392,3.650539168,5.323597718,0.685727841,285.0263898,297.4903021,189.2871075,771.8037995,0,1935.467523,152.4432349,2087.910758,506.9114218,571.1485082,141.3489833,1219.408913,669.6271119,389.9423988,119.9822765,1179.551787,15.61413188,240.9233156,34.51544942,291.0528969,1517.365839,1583.718694,1007.688414,4108.772946,0,10303.65049,811.5464576,11115.19695,2698.592488,3040.564895,752.4851251,6491.642509,3564.825365,2075.896464,638.7373736,6279.459203,83.12335684,1282.578813,183.7463678,1549.448538
3597,SAB,3,98,,11,11,93,4215729,PALd,PALd,STRIATUM,184.8888517,3153.066667,3457.15,2321.6,8931.816667,0,14352.03333,672.3,15024.33333,3544.6,7764.533333,1939.083333,13248.21667,10109.35,4876.316667,1766.366667,16752.03333,629.15,3329.633333,309.8833333,4268.666667,46,PALd,3462277.392,6.48210491,5.323597718,1.217617343,486.4263554,533.3375574,358.1552647,1377.919178,0,2214.100748,103.7163096,2317.817058,546.8285455,1197.841356,299.1440836,2043.813985,1559.578276,752.2736417,272.4989322,2584.35085,97.05952136,513.6654496,47.80597315,658.5309441,2589.538235,2839.274604,1906.67455,7335.487389,0,11786.98169,552.1439093,12339.1256,2911.095197,6376.825508,1592.522761,10880.44347,8302.567351,4004.802242,1450.674694,13758.04429,516.7058464,2734.548216,254.4997696,3505.753832
3602,CAA,1,98,,11,11,109,5267302,PALd,PALd,STRIATUM,146.1208483,3718.45,2352.366667,463.1333333,6533.95,0,3940.183333,177.7166667,4117.9,1984.75,7832.283333,271.6333333,10088.66667,7147.4,3068.716667,421.8833333,10638,350.5166667,960.9333333,113.8333333,1425.283333,46,PALd,3462277.392,8.099003555,5.323597718,1.521340263,459.1243817,290.4513686,57.18398939,806.7597397,0,486.5022353,21.9430286,508.4452639,245.0610111,967.0675263,33.53910533,1245.667643,882.5036255,378.900521,52.09077024,1313.494917,43.27898664,118.6483407,14.05522699,175.9825543,2444.193511,1546.246243,304.4245554,4294.864309,0,2589.94219,116.815857,2706.758047,1304.606239,5148.278476,178.5487046,6631.43342,4698.094287,2017.113949,277.3103056,6992.518541,230.3999145,631.6360359,74.82437431,936.8603248
3603,SAB,4,98,,11,11,98,4775104,PALd,PALd,STRIATUM,153.261475,1988.166667,2245.25,1731.916667,5965.333333,0,13420.16667,922.9166667,14343.08333,4339.75,5363.5,1302.333333,11005.58333,4406.75,2932.333333,900.9166667,8240,446.3333333,1690.083333,389,2525.416667,46,PALd,3462277.392,7.34219991,5.323597718,1.379180077,270.7862345,305.8007174,235.8852507,812.4722026,0,1827.812758,125.7002912,1953.513049,591.0694414,730.5031279,177.376447,1498.949016,600.1947718,399.3807536,122.703914,1122.279439,60.79013631,230.1875942,52.98139587,343.9591263,1441.55698,1627.960001,1255.758182,4325.275164,0,9730.539827,669.1777833,10399.71761,3146.61593,3888.904785,944.2808486,7979.801563,3195.195518,2126.142469,653.2262768,5974.564263,323.6222309,1225.426151,282.0516382,1831.10002
3604,SAB,5,98,,11,11,102,4430615,PALd,PALd,STRIATUM,120.4791567,2699.2,3004.2,2519,8222.4,3345.466667,11013.5,1625.866667,15984.83333,4688.766667,5674.9,1716.466667,12080.13333,4436.133333,3598.766667,1018.866667,9053.766667,792.7666667,1292.466667,550.1333333,2635.366667,46,PALd,3462277.392,6.812513624,5.323597718,1.279682272,396.2120517,440.9826043,369.7607284,1206.955384,491.0766938,1616.657317,238.6588499,2346.392861,688.2579508,833.0111781,251.9579059,1773.227035,651.1742329,528.2582708,149.5581107,1328.990614,116.3691862,189.7194983,80.75335532,386.8420398,2109.273574,2347.613986,1968.45737,6425.344931,2614.294766,8606.433206,1270.523709,12491.25168,3664.008456,4434.616407,1341.322533,9439.947397,3466.58966,2812.234525,796.1872168,7075.011402,619.5027343,1009.990288,429.8983781,2059.391401
3607,CAA,2,98,,11,11,91,4017039,PALd,PALd,STRIATUM,147.6908214,1687.642857,1716.321429,1240.628571,4644.592857,0,5567.657143,189.0071429,5756.664286,3132.485714,3934.092857,3076.671429,10143.25,6351.85,3958.571429,931.8142857,11242.23571,3.142857143,1374.692857,108.4642857,1486.3,46,PALd,3462277.392,6.176599166,5.323597718,1.16023026,273.231727,277.8748276,200.8594921,751.9660467,0,901.411439,30.60051944,932.0119585,507.1537961,636.935108,498.1173856,1642.20629,1028.373354,640.8982228,150.8620295,1820.133606,0.508832945,222.5646865,17.56051879,240.6340382,1454.575798,1479.293798,1069.295134,4003.16473,0,4798.75188,162.9048555,4961.656735,2699.882792,3390.786288,2651.776577,8742.445657,5474.64604,3411.884316,803.1287561,9689.659112,2.708821904,1184.844857,93.48513776,1281.038817
3608,CAB,3,98,,11,11,109,3138748,PALd,PALd,STRIATUM,117.1007833,1422,2117,2366.666667,5905.666667,77.66666667,9644.833333,867,10589.5,2708.666667,3079.166667,1093.333333,6881.166667,2672.5,2198.333333,727.3333333,5598.166667,178.1666667,1386.833333,296.8333333,1861.833333,46,PALd,3462277.392,4.826138925,5.323597718,0.906555901,294.6454758,438.6529342,490.3851098,1223.68352,16.0929198,1998.457459,179.6467142,2194.197093,561.2492116,638.0186552,226.5441071,1425.811974,553.7552983,455.5056055,150.7070859,1159.96799,36.91701989,287.3587675,61.5053437,385.7811311,1568.573983,2335.211759,2610.613052,6514.398794,85.67223113,10638.98357,956.3668377,11681.02264,2987.865022,3396.554657,1206.029691,7590.449371,2947.970443,2424.928602,802.3038984,6175.202943,196.5313628,1529.782479,327.4297074,2053.743549
3661,CAA,1,97,,11,11,96,3909041,PALd,PALd,STRIATUM,111.9071833,1881.666667,2403.666667,1891.5,6176.833333,0,3818.833333,284.6666667,4103.5,2878,3752.666667,2110.166667,8740.833333,5316.166667,3926.166667,858.5,10100.83333,154.3333333,1128.5,131,1413.833333,46,PALd,3462277.392,6.010541442,5.323597718,1.129037497,313.0610919,399.9085091,314.6971065,1027.666707,0,635.3559609,47.36123516,682.7171961,478.825415,624.347524,351.0776337,1454.250573,884.4738396,653.2134758,142.8323901,1680.519706,25.67710993,187.753468,21.79504147,235.2256194,1666.611315,2128.952026,1675.320798,5470.884139,0,3382.379544,252.1321634,3634.511707,2549.073887,3323.775054,1868.99609,7741.84503,4708.582914,3477.445769,760.3821861,8946.41087,136.6946038,999.5239336,116.0280331,1252.246571
