Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
AGE 10 - TAG A,A,Chamber2,8006,SAA,POST4,6,47.2,10.49,81.38,40.12,0,3038
AGE 10 - TAG A,A,Chamber3,9272,SAA,PRE,4,4.467,0.99,2.98,133.2,0,974
AGE 10 - TAG A,A,Chamber3,9272,SAA,SHK1,0,0,0,0,388.18,53,1322
AGE 10 - TAG A,A,Chamber3,9272,SAA,POST1,1,1.767,0.39,2.26,84.23,0,943
AGE 10 - TAG A,A,Chamber3,9272,SAA,SHK2,0,0,0,0,662.85,78,2243
AGE 10 - TAG A,A,Chamber3,9272,SAA,POST2,5,17.1,3.8,21.92,33.15,0,501
AGE 10 - TAG A,A,Chamber3,9272,SAA,SHK3,0,0,0,0,645.08,12,2297
AGE 10 - TAG A,A,Chamber3,9272,SAA,POST3,9,54.333,12.07,69.66,9.46,0,959
AGE 10 - TAG A,A,Chamber3,9272,SAA,SHK4,0,0,0,0,890.87,0,2927
AGE 10 - TAG A,A,Chamber3,9272,SAA,POST4,5,50.2,11.16,86.55,6.72,0,847
AGE 10 - TAG A,A,Chamber4,8056,SAA,PRE,0,0,0,0,203.65,0,1305
AGE 10 - TAG A,A,Chamber4,8056,SAA,SHK1,0,0,0,0,1437.4,5,3894
AGE 10 - TAG A,A,Chamber4,8056,SAA,POST1,3,4.033,0.9,5.17,167.72,0,2134
AGE 10 - TAG A,A,Chamber4,8056,SAA,SHK2,0,0,0,0,1259.88,52,4192
AGE 10 - TAG A,A,Chamber4,8056,SAA,POST2,15,56.6,12.58,72.56,22.54,0,1628
AGE 10 - TAG A,A,Chamber4,8056,SAA,SHK3,0,0,0,0,1041.37,0,2253
AGE 10 - TAG A,A,Chamber4,8056,SAA,POST3,9,68,15.11,87.18,8.99,0,553
AGE 10 - TAG A,A,Chamber4,8056,SAA,SHK4,0,0,0,0,1201.43,0,2759
