MouseID,GROUP,CODE,ID,AGE,DOB,SUBEXPT,EXPT,DELTAT,Ch1TotalCoronalCount,Ch2TotalCoronalCount,Ch3TotalCoronalCount,Ch4TotalCoronalCount,ROIAreapx,SubROI_SubroiAGGR,MajorROI,System,nonzeropixels,Ch1m05sd,Ch1m05sdm05sd,Ch1m05sd1,Ch1Total,Ch2m05sd,Ch2m05sdm05sd,Ch2m05sd1,Ch2Total,Ch3m05sd,Ch3m05sdm05sd,Ch3m05sd1,Ch3Total,Ch4m05sd,Ch4m05sdm05sd,Ch4m05sd1,Ch4Total,OLm05sd,OLm05sdm05sd,OLm05sd1,OLTotal,fseq,PopMeans_subroiIndex,SubROI_SubroiAreaPX_PopMean,ROIAreapx_PopMean,Sample_roiAreaMM2,Pop_roiAreaMM2,areaNormFactor,Ch1m05sdperMM2,Ch1m05sdm05sdperMM2,Ch1m05sd1perMM2,Ch1TotalperMM2,Ch2m05sdperMM2,Ch2m05sdm05sdperMM2,Ch2m05sd1perMM2,Ch2TotalperMM2,Ch3m05sdperMM2,Ch3m05sdm05sdperMM2,Ch3m05sd1perMM2,Ch3TotalperMM2,Ch4m05sdperMM2,Ch4m05sdm05sdperMM2,Ch4m05sd1perMM2,Ch4TotalperMM2,OLm05sdperMM2,OLm05sdm05sdperMM2,OLm05sd1perMM2,OLTotalperMM2,Ch1m05sd_COUNTnormd,Ch1m05sdm05sd_COUNTnormd,Ch1m05sd1_COUNTnormd,Ch1Total_COUNTnormd,Ch2m05sd_COUNTnormd,Ch2m05sdm05sd_COUNTnormd,Ch2m05sd1_COUNTnormd,Ch2Total_COUNTnormd,Ch3m05sd_COUNTnormd,Ch3m05sdm05sd_COUNTnormd,Ch3m05sd1_COUNTnormd,Ch3Total_COUNTnormd,Ch4m05sd_COUNTnormd,Ch4m05sdm05sd_COUNTnormd,Ch4m05sd1_COUNTnormd,Ch4Total_COUNTnormd,OLm05sd_COUNTnormd,OLm05sdm05sd_COUNTnormd,OLm05sd1_COUNTnormd,OLTotal_COUNTnormd
3540,CAA,2,3540,100,NA,11,11,96,345164.0833,5106.083333,37337.33333,9887.916667,2474589,bAmy,bAmy,NUCLEAR AMY,68.77658333,2703.916667,3223.75,2173.833333,8101.5,6.166666667,5,1.25,12.41666667,131,154,154.6666667,439.6666667,38.33333333,103.3333333,37.16666667,178.8333333,0,0,0,0,492.75,74,bAmy,2829690.021,3.804928046,4.350931377,0.874508862,710.6354269,847.2564949,571.3204841,2129.212406,1.620705199,1.314085296,0.328521324,3.26331182,81.98804282,96.38289003,96.80013198,275.1710648,10.07465394,27.15776279,9.768034037,47.00045077,0,0,0,0,3.804928046,3091.925976,3686.354868,2485.77622,9264.057065,7.051577103,5.717494948,1.429373737,32.2640452,192.1177237,225.8483164,226.8260148,6663.740362,43.83412794,118.1615623,42.50004578,204.495736,0,0,0
3541,CAA,3,3541,100,NA,11,11,101,337972.1667,10265.43333,22438.66667,18805.25,4266739,bAmy,bAmy,NUCLEAR AMY,96.58593833,4416.1,3791.583333,1936.4,10144.08333,7.283333333,6.666666667,5,18.95,112.6666667,134,105,351.6666667,119.1166667,233.6333333,68.1,420.85,1.5,1,0,2.5,943.15,74,bAmy,2829690.021,6.560537886,4.350931377,1.507846785,673.1307823,577.9378763,295.1587253,1546.227384,1.110173199,1.016176841,0.762132631,2.888482671,68.92259437,81.97302644,64.23259535,215.1282162,18.15653971,35.6119174,10.38024643,64.14870355,0.228639789,0.152426526,0,0.381066315,6.560537886,2928.745841,2514.56804,1284.215359,6727.52924,4.830287406,4.421315703,3.315986777,152.4237045,161.5022324,192.0825367,150.5124355,6530.43804,78.99785833,154.9450088,45.16373991,279.106607,0.994796033,0.663197355,0
3542,CAA,4,3542,100,NA,11,11,100,225044.1667,6653.75,14426,17630.25,4057066,bAmy,bAmy,NUCLEAR AMY,78.59786667,2806.833333,2261.25,826.75,5894.833333,14.58333333,10.66666667,5.833333333,31.08333333,68,69,44,181,118.1666667,219.0833333,66.41666667,403.6666667,0,0,0,0,954,74,bAmy,2829690.021,6.238144682,4.350931377,1.433749269,449.9468154,362.4875849,132.5313923,944.9657926,2.33776773,1.709910111,0.935107092,4.982784934,61.4011133,62.30407085,39.73013214,163.4353163,18.94259795,35.11995064,10.64686218,64.70941077,0,0,0,0,6.238144682,1957.687717,1577.158607,576.6349931,4111.481317,10.17146697,7.439701555,4.068586788,142.8196679,143.8775914,145.9934383,93.097265,6771.581481,82.41794378,152.8044952,46.32376671,281.5462057,0,0,0
3595,SAA,1,3595,98,NA,11,11,93,547576,3669.25,38577.66667,79752.3,3698962,bAmy,bAmy,NUCLEAR AMY,116.70496,3978.25,4691.45,2735.7,11405.4,17.85,10.35,8.1,36.3,256.6666667,222,114.6666667,593.3333333,579.6,817.6,436.85,1834.05,2.5,0,0,2.5,877,74,bAmy,2829690.021,5.687523971,4.350931377,1.307196892,699.4695794,824.8668531,481.0001705,2005.336603,3.138448311,1.81977255,1.424169822,6.382390682,73.84011885,63.86690799,32.98831283,170.6953397,101.9072628,143.7532403,76.80846748,322.4689706,0.439558587,0,0,0.439558587,5.687523971,3043.34414,3588.939073,2092.798734,8725.081947,13.65517323,7.917705486,6.196465163,21.34726199,173.0251762,149.655542,77.29955922,10192.84095,443.3915072,625.4604836,334.1883712,1403.040362,1.912489248,0,0
3596,CAB,2,3596,98,NA,11,11,109,146992.5,709.5,12609.5,25818.5,1368592,bAmy,bAmy,NUCLEAR AMY,38.17,1269,1673.5,1095.5,4038,0,1,0,1,52,45,38.5,135.5,259,405.5,243,907.5,0,0,0,0,241.5,74,bAmy,2829690.021,2.104347059,4.350931377,0.48365439,603.0374098,795.2585543,520.5890327,1918.884997,0,0.475206785,0,0.475206785,31.74327744,27.47014394,23.50223426,82.71565563,123.0785573,192.6963512,115.4752487,431.2501572,0,0,0,0,2.104347059,2623.774388,3460.115396,2265.047157,8348.936941,0,2.06759211,0,1.430425799,74.38214153,64.36916094,55.07139324,10415.49526,535.5063565,838.4086007,502.4248828,1876.33984,0,0,0
3597,SAB,3,3597,98,NA,11,11,93,422239.9167,3169,21792.83333,88706.58333,2371656,bAmy,bAmy,NUCLEAR AMY,104.9509917,2475.583333,2861.5,1942.083333,7279.166667,7.166666667,6.916666667,6.5,20.58333333,155.6666667,95.83333333,55.5,307,612,1309.916667,519.8333333,2441.75,1.5,3.666666667,0,5.166666667,465.5,74,bAmy,2829690.021,3.646658266,4.350931377,0.838132793,678.8635383,784.6910216,532.5652123,1996.119772,1.96526961,1.896713693,1.782453832,5.644437135,42.68748408,26.27976804,15.21941349,84.18666561,167.8248839,359.2101511,142.5506026,669.5856376,0.4113355,1.005486777,0,1.416822277,3.646658266,2953.68867,3414.136787,2317.154692,8684.980149,8.550753209,8.25247112,7.755334306,11.45920196,100.0270526,61.57982361,35.66275002,11602.87497,730.1945531,1562.898717,620.2278897,2913.32116,1.789692532,4.374803967,0
3602,CAA,1,3602,98,NA,11,11,109,790614.75,7356,20030.25,178421,5457204,bAmy,bAmy,NUCLEAR AMY,184.03665,5776.75,8343.75,4509.75,18630.25,39.75,31.5,19,90.25,238.4166667,274.4166667,90.58333333,603.4166667,1588.75,2646,2065,6299.75,3.5,6.75,6.5,16.75,1300.75,74,bAmy,2829690.021,8.39099687,4.350931377,1.928551876,688.4462108,994.3693376,537.4510406,2220.266589,4.737220215,3.754023567,2.264331675,10.75557546,32.32820263,37.20963693,12.28268307,81.82052262,189.3398394,315.3379796,246.0971005,750.7749195,0.41711373,0.804433621,0.774639784,1.996187135,8.39099687,2995.38222,4326.432751,2338.412596,9660.227567,20.61132007,16.33349893,9.851951733,25.97464509,75.75276207,87.19113789,28.7812836,8285.750669,823.8046482,1372.01391,1070.751596,3266.570154,1.814833214,3.500035484,3.37040454
3603,SAB,4,3603,98,NA,11,11,98,404222.3667,2409.633333,11010.66667,82588.03333,3021135,bAmy,bAmy,NUCLEAR AMY,88.48411333,2530.733333,3892.633333,2758.8,9182.166667,2,1,1,4,68.66666667,43,38,149.6666667,661.8666667,1001.4,556.0333333,2219.3,0,0.333333333,0,0.333333333,490.6,74,bAmy,2829690.021,4.645297176,4.350931377,1.067655813,544.7947112,837.9729403,593.8909601,1976.658612,0.430542961,0.21527148,0.21527148,0.861085922,26.43295305,16.55267448,14.62794489,57.61357241,142.4810172,215.5728605,119.6981188,477.7519965,0,0.07175716,0,0.07175716,4.645297176,2370.364403,3645.962759,2583.978813,8600.305975,1.873262877,0.936631439,0.936631439,1.202694621,61.93877296,38.78690152,34.27679669,11284.03604,619.9251282,937.9427226,520.7983009,2078.666152,0,0.31221048,0
3604,SAB,5,3604,98,NA,11,11,102,288177.1,815.1,7565,48121.7,2378607,bAmy,bAmy,NUCLEAR AMY,74.08624,2232,2919.4,1877.8,7029.2,1.1,0,1,2.1,34,34,19,87,381.7,680.1,413.2,1475,0.4,0.9,0,1.3,529.2,74,bAmy,2829690.021,3.657346123,4.350931377,0.840589246,610.2785804,798.2290715,513.4324006,1921.940052,0.300764533,0,0.273422303,0.574186836,19.28090492,19.28090492,10.77462334,49.33643319,104.3652931,185.9545083,112.9780956,403.297897,0.109368921,0.246080073,0,0.355448994,3.657346123,2655.280224,3473.039913,2233.909142,8362.229279,1.308605845,0,1.189641677,23.25431,45.17980229,45.17980229,25.24753657,9902.577322,454.0862283,809.0753048,491.5599411,1754.721474,0.475856671,1.07067751,0
3607,CAA,2,3607,98,NA,11,11,91,476974.6667,3487.5,170039.1667,13696.83333,4038044,bAmy,bAmy,NUCLEAR AMY,112.97445,3820.5,4144.833333,2524,10489.33333,6,8,5.166666667,19.16666667,1126.166667,913.5,675.6666667,2715.333333,44,91.66666667,18,153.6666667,0,0,0,0,783,74,bAmy,2829690.021,6.208896454,4.350931377,1.427026978,615.3267377,667.5636103,406.5134631,1689.403811,0.966355301,1.288473734,0.832139287,3.086968322,182.7603471,148.2476635,109.6507988,440.6588094,7.086605538,14.76376154,2.899065902,24.74943298,0,0,0,0,6.208896454,2677.24441,2904.523458,1768.712182,7350.48005,4.204545599,5.606060798,3.620580932,2.471778643,428.2514946,347.3799677,256.9382209,8793.106362,30.83333439,64.23611331,12.6136368,107.6830845,0,0,0
