MouseID,GROUP,CODE,ID,AGE,DOB,SUBEXPT,EXPT,DELTAT,Ch1TotalCoronalCount,Ch2TotalCoronalCount,Ch3TotalCoronalCount,Ch4TotalCoronalCount,ROIAreapx,SubROI_SubroiAGGR,MajorROI,System,nonzeropixels,Ch1m05sd,Ch1m05sdm05sd,Ch1m05sd1,Ch1Total,Ch2m05sd,Ch2m05sdm05sd,Ch2m05sd1,Ch2Total,Ch3m05sd,Ch3m05sdm05sd,Ch3m05sd1,Ch3Total,Ch4m05sd,Ch4m05sdm05sd,Ch4m05sd1,Ch4Total,OLm05sd,OLm05sdm05sd,OLm05sd1,OLTotal,fseq,PopMeans_subroiIndex,SubROI_SubroiAreaPX_PopMean,ROIAreapx_PopMean,Sample_roiAreaMM2,Pop_roiAreaMM2,areaNormFactor,nonzeropixelsperMM2,Ch1m05sdperMM2,Ch1m05sdm05sdperMM2,Ch1m05sd1perMM2,Ch1TotalperMM2,Ch2m05sdperMM2,Ch2m05sdm05sdperMM2,Ch2m05sd1perMM2,Ch2TotalperMM2,Ch3m05sdperMM2,Ch3m05sdm05sdperMM2,Ch3m05sd1perMM2,Ch3TotalperMM2,Ch4m05sdperMM2,Ch4m05sdm05sdperMM2,Ch4m05sd1perMM2,Ch4TotalperMM2,OLm05sdperMM2,OLm05sdm05sdperMM2,OLm05sd1perMM2,OLTotalperMM2,Ch1m05sdm05sd_COUNTnormd,Ch1m05sd1_COUNTnormd,Ch1Total_COUNTnormd,Ch2m05sd_COUNTnormd,Ch2m05sdm05sd_COUNTnormd,Ch2m05sd1_COUNTnormd,Ch2Total_COUNTnormd,Ch3m05sd_COUNTnormd,Ch3m05sdm05sd_COUNTnormd,Ch3m05sd1_COUNTnormd,Ch3Total_COUNTnormd,Ch4m05sd_COUNTnormd,Ch4m05sdm05sd_COUNTnormd,Ch4m05sd1_COUNTnormd,Ch4Total_COUNTnormd,OLm05sd_COUNTnormd,OLm05sdm05sd_COUNTnormd,OLm05sd1_COUNTnormd,OLTotal_COUNTnormd,fseq_COUNTnormd
3307,SAB,1,3307,101,,11,11,91,198058.333333333,271959.166666667,212430.5,172655,1240149,AI,AI,TEMP ASSOC CTX,100.136683333333,662,931,710.833333333333,2303.83333333333,0,3552.5,213,3765.5,975.5,1673.5,463.333333333333,3112.33333333333,572.166666666667,797,804.5,2173.66666666667,324.333333333333,591.5,107.833333333333,1023.66666666667,181,1,AI,4285382.69090909,1.9068531024,6.58920442554182,0.289390490756128,52.5141046299264,347.168850692691,488.238972801957,372.778234693939,1208.18605818859,0,1863.0171330601,111.702364346742,1974.71949740684,511.575851738248,877.623975278275,242.9832338685,1632.18306088502,300.058072615309,417.966123870203,421.899305713399,1139.92350219891,170.08826370795,310.196941366657,56.5504145010501,536.835619575657,346.026170630877,2287.56652739455,3217.10640030864,2456.31199379097,7960.98492149416,0,12275.8007380198,736.029713497036,13011.8304515169,3370.87786627399,5782.84378186521,1601.06619993878,10754.787848078,1977.14397999634,2754.0642331321,2779.98077233975,7511.18898546819,1120.74633995715,2043.95105884271,372.622241496543
3422,SAA,1,3422,103,,11,11,92,33885.5,517630.666666667,302020.333333333,170463.5,4046320,AI,AI,TEMP ASSOC CTX,133.9584,180,191.666666666667,93.3333333333333,465,3.83333333333333,11529.1666666667,529.166666666667,12062.1666666667,2766.33333333333,2537.33333333333,777.333333333333,6081,924,1037.5,570.166666666667,2531.66666666667,23.3333333333333,925.5,61.1666666666667,1010,725.5,1,AI,4285382.69090909,6.221621632,6.58920442554182,0.944214389203505,21.5311068276805,28.9313639830163,30.8065449819155,15.0014479911936,74.7393569561255,0.616130899638311,1853.08065141218,85.0528524500711,1938.74963476189,444.632203138986,407.825078960593,124.940631126656,977.397913226235,148.514335112817,166.757167402108,91.6427742462026,406.914276761128,3.75036199779841,148.755429812676,9.8313060942287,162.337097904703,141.872864395766,190.634671593852,202.990622530491,98.8476074931086,492.472901617452,4.05981245060982,12210.327229171,560.430631768964,12774.8176733906,2929.77248066182,2687.24281513408,823.259359549747,6440.27465534564,978.591314181775,1098.79706543679,603.852973632008,2681.24135325057,24.7119018732771,980.179936445057,64.780485624948
3425,SAA,1,3425,103,,11,11,88,236242.95,641825,373362.2,275672.4,5569119,AI,AI,TEMP ASSOC CTX,199.08616,1607.5,1683.4,1269.65,4560.55,456.8,13757.75,1096.15,15310.7,3699.05,5048.35,1717.2,10464.6,2264.4,2544.6,1713.5,6522.5,523.25,1381.25,246.25,2150.75,1079.7,1,AI,4285382.69090909,8.5630773744,6.58920442554182,1.29956164984149,23.2493706754518,187.724567899591,196.588203796063,148.270294017863,532.583065713516,53.3453080040641,1606.63618912634,128.008886533833,1787.99038366424,431.976710972927,589.548567561989,200.535382890934,1222.06066142585,264.437643267081,297.159524402674,200.103295238537,761.700462908292,61.1053686802244,161.302991857735,28.757184973732,251.165545511692,153.194856145749,1236.95555358691,1295.35986246233,976.983277518891,3509.29869356813,351.50313958227,10586.4542876269,843.476721657411,11781.4341488666,2846.38285567381,3884.6560304513,1321.36863242267,8052.40751854778,1742.4336892953,1958.044853286,1318.52151855127,5019.00006113257,402.635765732099,1062.85838780212,189.486970495039
3426,SAA,2,3426,103,,11,11,88,280842.580952381,757645.278571428,397047.414285714,302880.854761905,4896335,AI,AI,TEMP ASSOC CTX,207.860565238095,1619.21666666667,1654.98571428571,1041.57380952381,4315.77619047619,0,13813.2285714286,388.185714285714,14201.4142857143,4917.65,4599.92619047619,252.485714285714,9770.06190476191,1976.76428571429,2506.4,2005.73333333333,6488.89761904762,48.8333333333333,1972.43095238095,99.1809523809524,2120.44523809524,686.3,1,AI,4285382.69090909,7.528604696,6.58920442554182,1.14256656946577,27.6094407438517,215.075267204156,219.826353104317,138.348851026433,573.250471334907,0,1834.76608604084,51.5614419883089,1886.32752802914,653.195405864885,610.993188806973,33.536853704095,1297.72544837595,262.567150957541,332.916934970921,266.415015042428,861.89910097089,6.48637234988295,261.9915684282,13.1738823308983,281.651823108981,181.924249136122,1417.17490248622,1448.48077872568,911.608861451999,3777.2645426639,0,12089.6488139743,339.748881736683,12429.397695711,4304.03805906849,4025.95902366281,220.981184845771,8550.97826757707,1730.10863309134,2193.65774124821,1755.46299614836,5679.2293704879,42.7400333935608,1726.31600214174,86.8054037563222
3429,SAA,3,3429,103,,11,11,103,568870.916666667,438004.833333333,414731.083333333,314004.666666667,6230897,AI,AI,TEMP ASSOC CTX,219.562366666667,3254.58333333333,5630.16666666667,3937.83333333333,12822.5833333333,0,11654.3333333333,403.166666666667,12057.5,7657.75,6282.66666666667,573.25,14513.6666666667,3573.5,3677,2120.91666666667,9371.41666666667,179.666666666667,1862.83333333333,142.75,2185.25,647,1,AI,4285382.69090909,9.5806272272,6.58920442554182,1.45398846483841,22.917326961988,339.704620183256,587.661593875845,411.02041024554,1338.38662430464,0,1216.44784385786,42.0814480206527,1258.52929187851,799.29526725131,655.767781970452,59.8342870884807,1514.89733631024,372.992280698972,383.795331224324,221.375554686571,978.163166609868,18.7531215238791,194.4375132397,14.8998595410041,228.090494304584,151.00695223952,2238.38318668851,3872.22237508767,2708.29750617792,8818.90306795411,0,8015.423516189,277.283263530893,8292.70677971989,5266.71991228696,4320.98797108744,394.260349282557,9981.96823265696,2457.7223866746,2528.9058950056,1458.68878464753,6445.31706632774,123.568151337868,1281.18852273038,98.178220427536
3431,SAB,3,3431,103,,11,11,107,370861.833333333,901487.75,513921.5,416503.5,7381370,AI,AI,TEMP ASSOC CTX,284.034075,2377.66666666667,2549.5,1804.58333333333,6731.75,10,15445.3333333333,319.083333333333,15774.4166666667,5633.5,9243.5,961.916666666667,15838.9166666667,2796.5,3889.5,3234.25,9920.25,178.416666666667,2039.58333333333,142.833333333333,2360.83333333333,1050.25,1,AI,4285382.69090909,11.349594512,6.58920442554182,1.72245293650405,25.0259227058455,209.493534253822,224.633575878363,158.99980668255,593.126916814735,0.881088746335998,1360.87093834083,28.1140734143378,1389.8661005015,496.361345248384,814.43438267568,84.7533949913035,1395.54912291537,246.396467912862,342.699467887386,284.96612778372,874.062063583968,15.7200917158781,179.705392221446,12.5848842601658,208.01036819749,164.900920646624,1380.39572302768,1480.15655230299,1047.68222985295,3908.23450518363,5.80567386665225,8967.05680950662,185.249376961762,9158.11186033504,3270.62637277854,5366.47463864001,558.457445356391,9195.55845677494,1623.5566968093,2258.11685043439,1877.700070322,5759.3736175657,103.582897904187,1184.11556571928,82.9243750620163
3433,SAB,4,3433,103,,11,11,86,399153.666666667,712656.25,469184.5,353098.5,6003684,AI,AI,TEMP ASSOC CTX,219.698441666667,2711.58333333333,3376.33333333333,2297.25,8385.16666666667,51.5,13884.25,380.916666666667,14316.6666666667,7027.75,6809.91666666667,657.166666666667,14494.8333333333,3232.66666666667,3663.5,2205,9101.16666666667,19,2167.91666666667,115.916666666667,2302.83333333333,568.75,1,AI,4285382.69090909,9.2312645184,6.58920442554182,1.40096799586559,23.7993875301437,293.739100198953,365.749819713598,248.855397374982,908.344317287532,5.5788673260688,1504.04638198001,41.2637581674118,1550.8890074735,761.298734966602,737.701389998408,71.1892358145284,1570.18936077954,350.186765878416,396.857872797147,238.86218357246,985.906822248023,2.05822289699626,234.845038005955,12.5569651303587,249.460226033309,156.819029638807,1935.50697898561,2410.00033069796,1639.7590857032,5985.26639538677,36.7602972744432,9910.46907636287,271.895337931197,10219.1247115685,5016.35299360132,4860.86526370586,469.080427680031,10346.2986849872,2307.45218749223,2614.97765174607,1573.91175709024,6496.34159632854,13.5620514216392,1547.44196374537,82.7404102083341
3507,SAA,4,3507,101,,11,11,98,544618.583333333,596879.333333333,366294.916666667,295596.083333333,5681453,AI,AI,TEMP ASSOC CTX,203.635641666667,2836.41666666667,5264.66666666667,3753.58333333333,11854.6666666667,410.333333333333,9182.83333333333,526.5,10119.6666666667,6018.41666666667,4141.66666666667,478.083333333333,10638.1666666667,2884,2380.08333333333,1069.83333333333,6333.91666666667,203.083333333333,1243.33333333333,133.5,1579.91666666667,624,1,AI,4285382.69090909,8.7358021328,6.58920442554182,1.32577494468639,23.310468640548,324.688749075128,602.654065034236,429.678153908717,1357.02096801808,46.9714546066319,1051.17231294135,60.2692222186638,1158.41298976664,688.936925902836,474.102618592528,54.7268958323004,1217.76644032766,330.135682580487,272.451607437046,122.465380633619,725.052670651152,23.2472451008046,142.326178458763,15.2819395369261,180.855363096494,153.597443127753,2139.44054232947,3971.01083239435,2831.23719329395,8941.68856801778,309.504516568156,6926.38925644015,397.126225767183,7633.01999877549,4539.54624107814,3123.95907259085,360.60670421436,8024.11201788335,2175.33150068861,1795.23933747016,806.949428046706,4777.52026620548,153.180850299877,937.816284970934,100.695823627576
3508,SAA,5,3508,101,,11,11,104,766111.283333333,607743.766666667,533149.1,403169.716666667,6718936,AI,AI,TEMP ASSOC CTX,270.346176666667,3286.98333333333,5975.76666666667,3765,13027.75,108.75,10474.2333333333,591.65,11174.6333333333,6974.16666666667,5635.86666666667,601.833333333333,13211.8666666667,3276.93333333333,4023.25,1945.31666666667,9245.5,886.833333333333,1795.16666666667,274.3,2956.3,1110.9,1,AI,4285382.69090909,10.3310359936,6.58920442554182,1.56787304299646,26.1683510573522,318.165896950664,578.428598096901,364.435861256547,1261.03035630411,10.5265338410756,1013.86088866809,57.2691838811251,1081.65660639029,675.069438436485,545.527735084656,58.2548868967415,1278.85206041788,317.193100030178,389.433354263055,188.298314696781,894.924768990014,85.8416652388705,173.764438317586,26.5510642078807,286.157167764337,172.428614596237,2096.46013624379,3811.38427844005,2401.34238981778,8309.18680450162,69.3614833712307,6680.53665449555,377.358359876677,7127.25649774345,4448.17053129372,3594.59376627562,383.853358549447,8426.61765611878,2090.05017847018,2566.05598136372,1240.7360885221,5896.84224835599,565.628280487845,1144.96940596403,174.950389781412
3531,SAB,3,3531,101,,11,11,95,319232.5,558034,394950.75,328198.25,4540131,AI,AI,TEMP ASSOC CTX,183.624675,2083,2356.75,1955.25,6395,582.5,10324.5,789.5,11696.5,3371,6461,885.75,10717.75,2539,2922,1889.75,7350.75,181.5,1308,219.25,1708.75,520.5,1,AI,4285382.69090909,6.9809054256,6.58920442554182,1.05944587157439,26.303847968864,298.385363073583,337.599474039206,280.085444622959,916.070281735748,83.4418982190888,1478.96288096649,113.094212264327,1675.49899144991,482.888650466178,925.524642735679,126.881822055893,1535.29511525775,363.70640270947,418.570346087858,270.702707569997,1052.97945636733,25.9994927498105,187.368245271362,31.4071007459832,244.774838767155,173.321431445218,1966.12215488135,2224.51194839973,1845.54025123945,6036.17435452053,549.81572502083,9745.18876047649,745.200883955271,11040.2053694526,3181.85203269565,6098.47107186194,836.050263411502,10116.3733679691,2396.53583833114,2758.04557684269,1783.71547872637,6938.2968939002,171.315972688894,1234.60767094806,206.94780722887
