MouseID,GROUP,CODE,ID,AGE,DOB,SUBEXPT,EXPT,DELTAT,Ch2TotalCoronalCount,Ch3TotalCoronalCount,Ch4TotalCoronalCount,ROIAreapx,SubROI_SubroiAGGR,MajorROI,System,nonzeropixels,Ch1m05sd,Ch1m05sdm05sd,Ch1m05sd1,Ch1Total,Ch2m05sd,Ch2m05sdm05sd,Ch2m05sd1,Ch2Total,Ch3m05sd,Ch3m05sdm05sd,Ch3m05sd1,Ch3Total,Ch4m05sd,Ch4m05sdm05sd,Ch4m05sd1,Ch4Total,OLm05sd,OLm05sdm05sd,OLm05sd1,PopMeans_subroiIndex,SubROI_SubroiAreaPX_PopMean,ROIAreapx_PopMean,Sample_roiAreaMM2,Pop_roiAreaMM2,areaNormFactor,Ch1m05sdperMM2,Ch1m05sdm05sdperMM2,Ch1m05sd1perMM2,Ch1TotalperMM2,Ch2m05sdperMM2,Ch2m05sdm05sdperMM2,Ch2m05sd1perMM2,Ch2TotalperMM2,Ch3m05sdperMM2,Ch3m05sdm05sdperMM2,Ch3m05sd1perMM2,Ch3TotalperMM2,Ch4m05sdperMM2,Ch4m05sdm05sdperMM2,Ch4m05sd1perMM2,Ch4TotalperMM2,OLm05sdperMM2,OLm05sdm05sdperMM2,SubROI_SubroiAGGR_COUNTnormd,MajorROI_COUNTnormd,System_COUNTnormd,nonzeropixels_COUNTnormd,Ch1m05sd_COUNTnormd,Ch1m05sdm05sd_COUNTnormd,Ch1m05sd1_COUNTnormd,Ch1Total_COUNTnormd,Ch2m05sd_COUNTnormd,Ch2m05sdm05sd_COUNTnormd,Ch2m05sd1_COUNTnormd,Ch2Total_COUNTnormd,Ch3m05sd_COUNTnormd,Ch3m05sdm05sd_COUNTnormd,Ch3m05sd1_COUNTnormd,Ch3Total_COUNTnormd,Ch4m05sd_COUNTnormd,Ch4m05sdm05sd_COUNTnormd,Ch4m05sd1_COUNTnormd,Ch4Total_COUNTnormd
3307,SAB,1,3307,101,,11,11,91,271959.166666667,212430.5,172655,1240149,AI,AI,TEMP ASSOC CTX,100.136683333333,662,931,710.833333333333,2303.83333333333,0,3552.5,213,3765.5,975.5,1673.5,463.333333333333,3112.33333333333,572.166666666667,797,804.5,2173.66666666667,324.333333333333,591.5,107.833333333333,1,AI,4257682.69090909,1.9068531024,6.54661290554182,0.291273232420053,347.168850692691,488.238972801957,372.778234693939,1208.18605818859,0,1863.0171330601,111.702364346742,1974.71949740684,511.575851738248,877.623975278275,242.9832338685,1632.18306088502,300.058072615309,417.966123870203,421.899305713399,1139.92350219891,170.08826370795,310.196941366657,12.4834291291443,42.8581405350067,1.9068531024,2272.78007834689,3196.31156033377,2440.43480215244,7909.5264408331,0,12196.4520065367,731.272140011915,12927.7241465487,3349.08907315316,5745.46444276967,1590.71717467381,10685.2706905966,1964.36405059539,2736.26242060796,2762.01143962247,7462.63791082582,1113.50202227166
3422,SAA,1,3422,103,,11,11,92,517630.666666667,302020.333333333,170463.5,4046320,AI,AI,TEMP ASSOC CTX,133.9584,180,191.666666666667,93.3333333333333,465,3.83333333333333,11529.1666666667,529.166666666667,12062.1666666667,2766.33333333333,2537.33333333333,777.333333333333,6081,924,1037.5,570.166666666667,2531.66666666667,23.3333333333333,925.5,61.1666666666667,1,AI,4257682.69090909,6.221621632,6.54661290554182,0.950357340775914,28.9313639830163,30.8065449819155,15.0014479911936,74.7393569561255,0.616130899638311,1853.08065141218,85.0528524500711,1938.74963476189,444.632203138986,407.825078960593,124.940631126656,977.397913226235,148.514335112817,166.757167402108,91.6427742462026,406.914276761128,3.75036199779841,148.755429812676,40.7305484694493,42.8581405350067,6.221621632,189.402440826142,201.678524953763,98.2086730209627,489.289638800868,4.03357049907525,12131.4017075448,556.80810150278,12692.2433795467,2910.83491928918,2669.87292512703,817.937948160304,6398.64579257651,972.265862907531,1091.69462420624,599.949768579845,2663.91025569361,24.5521682552407
3425,SAA,1,3425,103,,11,11,88,641825,373362.2,275672.4,5569119,AI,AI,TEMP ASSOC CTX,199.08616,1607.5,1683.4,1269.65,4560.55,456.8,13757.75,1096.15,15310.7,3699.05,5048.35,1717.2,10464.6,2264.4,2544.6,1713.5,6522.5,523.25,1381.25,246.25,1,AI,4257682.69090909,8.5630773744,6.54661290554182,1.30801645033132,187.724567899591,196.588203796063,148.270294017863,532.583065713516,53.3453080040641,1606.63618912634,128.008886533833,1787.99038366424,431.976710972927,589.548567561989,200.535382890934,1222.06066142585,264.437643267081,297.159524402674,200.103295238537,761.700462908292,61.1053686802244,161.302991857735,56.0591528504002,42.8581405350067,8.5630773744,1228.96007889872,1286.98687204859,970.668220325823,3486.61517127313,349.231081829509,10518.025210245,838.024628606428,11705.280920681,2827.98431094887,3859.54626084501,1312.82752565156,8000.35809744544,1731.17088812334,1945.38837745921,1309.99881505005,4986.5580806326,400.033195199848
3426,SAA,2,3426,103,,11,11,88,757645.278571428,397047.414285714,302880.854761905,4896335,AI,AI,TEMP ASSOC CTX,207.860565238095,1619.21666666667,1654.98571428571,1041.57380952381,4315.77619047619,0,13813.2285714286,388.185714285714,14201.4142857143,4917.65,4599.92619047619,252.485714285714,9770.06190476191,1976.76428571429,2506.4,2005.73333333333,6488.89761904762,48.8333333333333,1972.43095238095,99.1809523809524,1,AI,4257682.69090909,7.528604696,6.54661290554182,1.14999997779415,215.075267204156,219.826353104317,138.348851026433,573.250471334907,0,1834.76608604084,51.5614419883089,1886.32752802914,653.195405864885,610.993188806973,33.536853704095,1297.72544837595,262.567150957541,332.916934970921,266.415015042428,861.89910097089,6.48637234988295,261.9915684282,49.2868606635563,42.8581405350067,7.528604696,1408.01451994159,1439.11804021091,905.71637359653,3752.84893374903,0,12011.5033375254,337.552801549009,12349.0561390744,4276.21747387568,3999.93589504188,219.552799270496,8495.70616818806,1718.92549902999,2179.47830295406,1744.11597570688,5642.51977769092,42.4637689358933
3429,SAA,3,3429,103,,11,11,103,438004.833333333,414731.083333333,314004.666666667,6230897,AI,AI,TEMP ASSOC CTX,219.562366666667,3254.58333333333,5630.16666666667,3937.83333333333,12822.5833333333,0,11654.3333333333,403.166666666667,12057.5,7657.75,6282.66666666667,573.25,14513.6666666667,3573.5,3677,2120.91666666667,9371.41666666667,179.666666666667,1862.83333333333,142.75,1,AI,4257682.69090909,9.5806272272,6.54661290554182,1.46344794864682,339.704620183256,587.661593875845,411.02041024554,1338.38662430464,0,1216.44784385786,42.0814480206527,1258.52929187851,799.29526725131,655.767781970452,59.8342870884807,1514.89733631024,372.992280698972,383.795331224324,221.375554686571,978.163166609868,18.7531215238791,194.4375132397,62.7206578487728,42.8581405350067,9.5806272272,2223.91465056388,3847.19297455888,2690.79152215454,8761.89914727731,0,7963.61315351837,275.490950695892,8239.10410421426,5232.67671192592,4293.05782448629,391.711916047342,9917.44645245956,2441.83607849137,2512.55946847986,1449.26006328259,6403.65561025381,122.769427387421
3431,SAB,3,3431,103,,11,11,107,901487.75,513921.5,416503.5,7381370,AI,AI,TEMP ASSOC CTX,284.034075,2377.66666666667,2549.5,1804.58333333333,6731.75,10,15445.3333333333,319.083333333333,15774.4166666667,5633.5,9243.5,961.916666666667,15838.9166666667,2796.5,3889.5,3234.25,9920.25,178.416666666667,2039.58333333333,142.833333333333,1,AI,4257682.69090909,11.349594512,6.54661290554182,1.73365901967296,209.493534253822,224.633575878363,158.99980668255,593.126916814735,0.881088746335998,1360.87093834083,28.1140734143378,1389.8661005015,496.361345248384,814.43438267568,84.7533949913035,1395.54912291537,246.396467912862,342.699467887386,284.96612778372,874.062063583968,15.7200917158781,179.705392221446,74.3014019049258,42.8581405350067,11.349594512,1371.47307497364,1470.5890668633,1040.91018640664,3882.97232824357,5.7681469576909,8909.09524771886,184.051955841654,9098.9153505182,3249.48558861517,5331.78664034159,554.847669438551,9136.11989839531,1613.06229671826,2243.52075919388,1865.56292979118,5722.14598570332,102.913355303469
3433,SAB,4,3433,103,,11,11,86,712656.25,469184.5,353098.5,6003684,AI,AI,TEMP ASSOC CTX,219.698441666667,2711.58333333333,3376.33333333333,2297.25,8385.16666666667,51.5,13884.25,380.916666666667,14316.6666666667,7027.75,6809.91666666667,657.166666666667,14494.8333333333,3232.66666666667,3663.5,2205,9101.16666666667,19,2167.91666666667,115.916666666667,1,AI,4257682.69090909,9.2312645184,6.54661290554182,1.41008253452493,293.739100198953,365.749819713598,248.855397374982,908.344317287532,5.5788673260688,1504.04638198001,41.2637581674118,1550.8890074735,761.298734966602,737.701389998408,71.1892358145284,1570.18936077954,350.186765878416,396.857872797147,238.86218357246,985.906822248023,2.05822289699626,234.845038005955,60.4335154306277,42.8581405350067,9.2312645184,1922.9961842247,2394.42248993663,1629.15995606879,5946.57863023013,36.5226848351476,9846.40945480384,270.137851749935,10153.0699913889,4983.92812330502,4829.44544019972,466.048369919051,10279.4219334238,2292.53720084959,2598.07487171967,1563.73825362137,6454.35032619063,13.4743885799574
3507,SAA,4,3507,101,,11,11,98,596879.333333333,366294.916666667,295596.083333333,5681453,AI,AI,TEMP ASSOC CTX,203.635641666667,2836.41666666667,5264.66666666667,3753.58333333333,11854.6666666667,410.333333333333,9182.83333333333,526.5,10119.6666666667,6018.41666666667,4141.66666666667,478.083333333333,10638.1666666667,2884,2380.08333333333,1069.83333333333,6333.91666666667,203.083333333333,1243.33333333333,133.5,1,AI,4257682.69090909,8.7358021328,6.54661290554182,1.33440028589517,324.688749075128,602.654065034236,429.678153908717,1357.02096801808,46.9714546066319,1051.17231294135,60.2692222186638,1158.41298976664,688.936925902836,474.102618592528,54.7268958323004,1217.76644032766,330.135682580487,272.451607437046,122.465380633619,725.052670651152,23.2472451008046,142.326178458763,57.1899149828482,42.8581405350067,8.7358021328,2125.61155497946,3945.34287973037,2812.93654760819,8883.89098231801,307.503930919848,6881.61822985007,394.559267983672,7583.68142875359,4510.20337021981,3103.76632142901,358.275802535981,7972.2454941848,2161.27052016127,1783.63520938298,801.733441338142,4746.63917088239,152.190714795221
3508,SAA,5,3508,101,,11,11,104,607743.766666667,533149.1,403169.716666667,6718936,AI,AI,TEMP ASSOC CTX,270.346176666667,3286.98333333333,5975.76666666667,3765,13027.75,108.75,10474.2333333333,591.65,11174.6333333333,6974.16666666667,5635.86666666667,601.833333333333,13211.8666666667,3276.93333333333,4023.25,1945.31666666667,9245.5,886.833333333333,1795.16666666667,274.3,1,AI,4257682.69090909,10.3310359936,6.54661290554182,1.57807344693538,318.165896950664,578.428598096901,364.435861256547,1261.03035630411,10.5265338410756,1013.86088866809,57.2691838811251,1081.65660639029,675.069438436485,545.527735084656,58.2548868967415,1278.85206041788,317.193100030178,389.433354263055,188.298314696781,894.924768990014,85.8416652388705,173.764438317586,67.6332935633188,42.8581405350067,10.3310359936,2082.9089670805,3786.74812523563,2385.82051254436,8255.47760486049,68.9131422946079,6637.35477817862,374.919178286021,7081.18709875925,4419.41829780516,3571.35891083621,381.372194369087,8372.14940301045,2076.54044220638,2549.46942286695,1232.71617708572,5858.72604215906,561.97215348599
3531,SAB,3,3531,101,,11,11,95,558034,394950.75,328198.25,4540131,AI,AI,TEMP ASSOC CTX,183.624675,2083,2356.75,1955.25,6395,582.5,10324.5,789.5,11696.5,3371,6461,885.75,10717.75,2539,2922,1889.75,7350.75,181.5,1308,219.25,1,AI,4257682.69090909,6.9809054256,6.54661290554182,1.06633850608313,298.385363073583,337.599474039206,280.085444622959,916.070281735748,83.4418982190888,1478.96288096649,113.094212264327,1675.49899144991,482.888650466178,925.524642735679,126.881822055893,1535.29511525775,363.70640270947,418.570346087858,270.702707569997,1052.97945636733,25.9994927498105,187.368245271362,45.7012855515998,42.8581405350067,6.9809054256,1953.4134687223,2210.1330736492,1833.61098642308,5997.15752879457,546.261807743993,9682.19748335255,740.38402955173,10968.8433206483,3161.28507108155,6059.05157053037,830.646173749772,10050.9828153617,2381.04502980601,2740.21802957588,1772.18583894285,6893.44889832474,170.20861477345
