"","ID","EXPT","VALENCE","CONTEXT","SubROI_SubroiAGGR","GROUP","System","Ch1TotalperMM2","Ch2TotalperMM2","Ch3TotalperMM2","Ch4TotalperMM2","OLTotalperMM2","NormOLTotalperMM2"
"1",3307,"OLD","SHOCK","AB","AcB","SAB","STRIATUM",1502.53800553529,1596.35740047844,1922.07386509631,1006.11103316215,225.982368689167,0.0950909715070373
"2",3307,"OLD","SHOCK","AB","AI","SAB","TEMP ASSOC CTX",1208.18605818859,1974.71949740684,1632.18306088502,1139.92350219891,536.835619575657,0.208252805750517
"3",3307,"OLD","SHOCK","AB","ATN","SAB","THALAMIC",774.180777632026,1327.07528445365,1283.07496645507,1367.06097489762,449.95945632129,0.200500894454384
"4",3307,"OLD","SHOCK","AB","bAmy","SAB","NUCLEAR AMY",1027.10449985019,1555.6410329296,1196.69934100583,973.978405030357,499.249070550526,0.24589064072459
"5",3307,"OLD","SHOCK","AB","BNST","SAB","STRIATUM",1720.95198522762,2431.01626249065,1884.27607521407,1282.68737766069,597.866211171917,0.191879783460893
"6",3307,"OLD","SHOCK","AB","CA3","SAB","SUBIC-HPC",1726.24255139532,2761.24481310382,3355.86011606023,2967.50199631682,626.204240925967,0.12272396212673
"7",3307,"OLD","SHOCK","AB","CeA","SAB","NUCLEAR AMY",994.714111564274,2071.93755624244,1678.45679234871,1720.86198745505,695.576688721085,0.224580768414349
"8",3307,"OLD","SHOCK","AB","CLA","SAB","CORTICO-AMY",1345.50834830387,1833.92195138863,1520.95789504306,976.234471214309,385.277720879964,0.158885358103153
"9",3307,"OLD","SHOCK","AB","COA","SAB","OLFACTORY",1101.22002463682,1991.59515412979,1410.71323417527,1237.12607150664,631.264535460783,0.243031784841077
"10",3307,"OLD","SHOCK","AB","Cpu","SAB","STRIATUM",1155.82756513187,1629.84323990866,1382.12609469083,1145.6658739509,321.46717432465,0.13099497981097
"11",3307,"OLD","SHOCK","AB","dACC","SAB","PFC",1056.46209483668,1461.47433626368,1374.71465601743,892.872454973526,235.605189477961,0.111200530202613
"12",3307,"OLD","SHOCK","AB","DG","SAB","SUBIC-HPC",961.672216375499,828.201695241533,1033.54095852456,646.818679341528,109.514273750946,0.0802005012531324
"13",3307,"OLD","SHOCK","AB","EP","SAB","OLFACTORY",1015.77963868919,1501.18771196881,1126.4590039321,786.614060119264,303.676508385239,0.153053092937544
"14",3307,"OLD","SHOCK","AB","EPI","SAB","THALAMIC",788.389209722298,755.878314476017,978.036098658933,1067.4410605862,186.937647666112,0.114238410596027
"15",3307,"OLD","SHOCK","AB","Gus","SAB","VISC CTX",1509.47473053028,2397.17301838707,1848.0146889269,1091.33911779308,518.405463010398,0.174541024971721
"16",3307,"OLD","SHOCK","AB","HY","SAB","HYPOTHAL",1038.81218370398,1416.79905104922,1090.9483033378,1016.00263136418,471.1801811907,0.240199335548172
"17",3307,"OLD","SHOCK","AB","IA","SAB","CORTICO-AMY",1197.12841704575,2156.48998913554,1650.54426091528,1111.42176363139,785.18353450576,0.316258351893096
"18",3307,"OLD","SHOCK","AB","ILM","SAB","THALAMIC",833.988308448973,1772.34268480982,1386.84639792811,1208.20177717805,540.63503648045,0.221579961464355
"19",3307,"OLD","SHOCK","AB","LH","SAB","HYPOTHAL",1250.27412590859,1895.62964231527,1822.20089078782,1702.58355678863,657.180027090032,0.223452096135328
"20",3307,"OLD","SHOCK","AB","LSC","SAB","STRIATUM",1239.24021428047,1863.57309701393,1522.05558692671,982.113131396268,298.638577746802,0.117248916669863
"21",3307,"OLD","SHOCK","AB","MA","SAB","CORTICO-AMY",1072.01931241473,1655.06712552521,1885.46959466742,1962.08264064136,661.914183966006,0.223980175371712
"22",3307,"OLD","SHOCK","AB","MED","SAB","THALAMIC",809.322777145798,1280.61270250789,1441.98824115328,1474.3856030783,435.224937558767,0.187615283267457
"23",3307,"OLD","SHOCK","AB","MH","SAB","HYPOTHAL",1612.94142370344,1966.23609506665,1445.14072357293,1427.12130922461,763.82748242108,0.290480620155039
"24",3307,"OLD","SHOCK","AB","MoP","SAB","MOTOR CTX",1153.57664468361,1640.37649868253,1546.47839395045,1009.35450232643,293.857627407093,0.12473405009787
"25",3307,"OLD","SHOCK","AB","MoS","SAB","MOTOR CTX",1129.22559522477,1756.14266111968,1709.44063817177,944.092912328129,288.955677858193,0.119834979915319
"26",3307,"OLD","SHOCK","AB","MTN","SAB","THALAMIC",946.08507339944,1106.55320664017,932.945002935559,997.848987348062,371.50562856973,0.214384191176471
"27",3307,"OLD","SHOCK","AB","OTub","SAB","OLFACTORY",1414.39895115463,1688.94746705742,1756.81219528019,1211.33745666075,434.675182337367,0.176295208054271
"28",3307,"OLD","SHOCK","AB","PALd","SAB","STRIATUM",843.838516203485,849.271966895725,1465.614264985,1692.40177213935,409.871171784168,0.192265070921986
"29",3307,"OLD","SHOCK","AB","PALm","SAB","STRIATUM",1436.91888372274,2130.36636721457,1799.77352615626,1122.81943550232,535.763398118621,0.197158674047889
"30",3307,"OLD","SHOCK","AB","PALv","SAB","STRIATUM",1395.26679864633,1832.57937684607,1914.09335236939,1276.66726442086,484.66988786612,0.18466592270091
"31",3307,"OLD","SHOCK","AB","PH","SAB","HYPOTHAL",1436.54983713593,2142.54749731754,1568.6686222036,1211.8538874792,645.219700872534,0.23816036580387
"32",3307,"OLD","SHOCK","AB","PIR","SAB","OLFACTORY",1214.70281249295,2281.60324320998,1780.77287523276,1169.43641256496,604.883552028934,0.212526484837851
