"","x"
"1","ID"
"2","GROUP"
"3","CODE"
"4","AGE"
"5","DOB"
"6","SUBEXPT"
"7","EXPT"
"8","DELTAT"
"9","ROIAreapx"
"10","SubROI_SubroiAGGR"
"11","MajorROI"
"12","System"
"13","nonzeropixels"
"14","PopMeans_subroiIndex"
"15","SubROI_SubroiAreaPX_PopMean"
"16","ROIAreapx_PopMean"
"17","Sample_roiAreaMM2"
"18","Pop_roiAreaMM2"
"19","areaNormFactor"
