"Width","Height","Name"
"?2019 pixels","?507 pixels","39_01_-0.5_8351_LEFT_THUMB.tif"
"?517 pixels","?2019 pixels","39_01_-0.9_8351_RIGHT_THUMB.tif"
"?477 pixels","?1814 pixels","40_01_-3.4_8351_LEFT_THUMB.tif"
"?477 pixels","?1814 pixels","40_01_-3.4_8351_RIGHT_THUMB.tif"
"?477 pixels","?1824 pixels","41_01_-0.7_8351_RIGHT_THUMB.tif"
"?477 pixels","?1824 pixels","41_01_-0.8_8351_LEFT_THUMB.tif"
"?472 pixels","?2004 pixels","42_01_-0.4_8351_RIGHT_THUMB.tif"
"?477 pixels","?2009 pixels","42_01_-2.9_8351_LEFT_THUMB.tif"
"?1929 pixels","?502 pixels","43_01_-0.4_8351_LEFT_THUMB.tif"
"?1929 pixels","?493 pixels","43_01_-0.4_8351_RIGHT_THUMB.tif"
"?1934 pixels","?502 pixels","44_01_-0.5_8351_LEFT_THUMB.tif"
"?1934 pixels","?493 pixels","44_01_-0.5_8351_RIGHT_THUMB.tif"
"?1959 pixels","?502 pixels","45_01_-0.5_8351_LEFT_THUMB.tif"
"?1959 pixels","?493 pixels","45_01_-0.5_8351_RIGHT_THUMB.tif"
"?2104 pixels","?484 pixels","46_01_-3.3_8351_RIGHT_THUMB.tif"
"?2104 pixels","?475 pixels","46_01_-3.4_8351_LEFT_THUMB.tif"
"?2239 pixels","?515 pixels","47_01_-2.5_8351_LEFT_THUMB.tif"
"?2239 pixels","?512 pixels","47_01_-3.3_8351_RIGHT_THUMB.tif"
"?2249 pixels","?515 pixels","48_01_-2.4_8351_LEFT_THUMB.tif"
"?2249 pixels","?512 pixels","48_01_-3.3_8351_RIGHT_THUMB.tif"
"?493 pixels","?1929 pixels","49_01_-3.2_8351_LEFT_THUMB.tif"
"?484 pixels","?1929 pixels","49_01_-3.3_8351_RIGHT_THUMB.tif"
"?1944 pixels","?492 pixels","50_01_-0.5_8351_LEFT_THUMB.tif"
"?486 pixels","?1944 pixels","50_01_-0.5_8351_RIGHT_THUMB.tif"
"?1969 pixels","?493 pixels","51_01_-0.5_8351_LEFT_THUMB.tif"
"?488 pixels","?1969 pixels","51_01_-0.5_8351_RIGHT_THUMB.tif"
"?1924 pixels","?467 pixels","52_01_-0.1_8351_LEFT_THUMB.tif"
"?485 pixels","?1909 pixels","52_01_-0.9_8351_RIGHT_THUMB.tif"
"?1924 pixels","?467 pixels","53_01_-0.1_8351_LEFT_THUMB.tif"
"?487 pixels","?1919 pixels","53_01_-0.9_8351_RIGHT_THUMB.tif"
"?1924 pixels","?469 pixels","54_01_-0.1_8351_LEFT_THUMB.tif"
"?487 pixels","?1924 pixels","54_01_-0.9_8351_RIGHT_THUMB.tif"
"?2099 pixels","?458 pixels","58_01_-3.2_8351_LEFT_THUMB.tif"
"?2104 pixels","?456 pixels","59_01_-2.8_8351_RIGHT_THUMB.tif"
"?2104 pixels","?458 pixels","59_01_-3.2_8351_LEFT_THUMB.tif"
"?2224 pixels","?490 pixels","60_01_-2.8_8351_LEFT_THUMB.tif"
"?2224 pixels","?488 pixels","60_01_-3.2_8351_RIGHT_THUMB.tif"
"?515 pixels","?2074 pixels","61_01_-0.5_8351_RIGHT_THUMB.tif"
"?2074 pixels","?523 pixels","61_01_-3.4_8351_LEFT_THUMB.tif"
"?2079 pixels","?521 pixels","62_01_-2.1_8351_LEFT_THUMB.tif"
"?515 pixels","?2079 pixels","62_01_-3.4_8351_RIGHT_THUMB.tif"
"?479 pixels","?1999 pixels","63_01_-0.5_8351_LEFT_THUMB.tif"
"?1999 pixels","?486 pixels","63_01_-2.3_8351_RIGHT_THUMB.tif"
"?517 pixels","?2009 pixels","64_01_-3.4_8351_LEFT_THUMB.tif"
"?524 pixels","?2009 pixels","64_01_-3.4_8351_RIGHT_THUMB.tif"
"?2014 pixels","?517 pixels","65_01_-2.1_8351_LEFT_THUMB.tif"
"?2014 pixels","?525 pixels","65_01_-2_8351_RIGHT_THUMB.tif"
"?2029 pixels","?517 pixels","66_01_-1.9_8351_LEFT_THUMB.tif"
"?2029 pixels","?526 pixels","66_01_-2_8351_RIGHT_THUMB.tif"
"?488 pixels","?2044 pixels","67_01_-0.2_8351_RIGHT_THUMB.tif"
"?486 pixels","?2044 pixels","67_01_-0.4_8351_LEFT_THUMB.tif"
"?2039 pixels","?486 pixels","68_01_-2.1_8351_LEFT_THUMB.tif"
"?2039 pixels","?488 pixels","68_01_-2.1_8351_RIGHT_THUMB.tif"
"?524 pixels","?2239 pixels","69_01_-1.4_8351_RIGHT_THUMB.tif"
"?2239 pixels","?527 pixels","69_01_-2_8351_LEFT_THUMB.tif"
"?479 pixels","?2159 pixels","70_01_-0.4_8351_LEFT_THUMB.tif"
"?479 pixels","?2159 pixels","70_01_-3.5_8351_RIGHT_THUMB.tif"
"?516 pixels","?2149 pixels","71_01_-1.4_8351_RIGHT_THUMB.tif"
"?2149 pixels","?519 pixels","71_01_-1.5_8351_LEFT_THUMB.tif"
"?515 pixels","?2149 pixels","72_01_-1.4_8351_RIGHT_THUMB.tif"
"?520 pixels","?2149 pixels","72_01_-1.5_8351_LEFT_THUMB.tif"
"?506 pixels","?2019 pixels","76_01_-3.4_8351_LEFT_THUMB.tif"
"?517 pixels","?2019 pixels","76_01_-3.4_8351_RIGHT_THUMB.tif"
"?505 pixels","?2019 pixels","77_01_-1.2_8351_LEFT_THUMB.tif"
"?2019 pixels","?517 pixels","77_01_-2.3_8351_RIGHT_THUMB.tif"
"?2019 pixels","?505 pixels","78_01_-2.1_8351_LEFT_THUMB.tif"
"?2019 pixels","?515 pixels","78_01_-2.2_8351_RIGHT_THUMB.tif"
"?507 pixels","?2019 pixels","79_01_-0.4_8351_RIGHT_THUMB.tif"
"?514 pixels","?2019 pixels","79_01_-3.4_8351_LEFT_THUMB.tif"
"?2024 pixels","?515 pixels","80_01_-1.5_8351_LEFT_THUMB.tif"
"?2024 pixels","?508 pixels","80_01_-1.7_8351_RIGHT_THUMB.tif"
"?2034 pixels","?515 pixels","81_01_-1.5_8351_LEFT_THUMB.tif"
"?2034 pixels","?506 pixels","81_01_-1.8_8351_RIGHT_THUMB.tif"
"?478 pixels","?2059 pixels","01_01_-3_8352_LEFT_THUMB.tif"
"?2034 pixels","?480 pixels","02_01_-0.4_8352_RIGHT_THUMB.tif"
"?479 pixels","?2059 pixels","03_01_-2.9_8352_RIGHT_THUMB.tif"
"?467 pixels","?1954 pixels","05_01_-3.2_8352_RIGHT_THUMB.tif"
"?1954 pixels","?466 pixels","05_01_0_8352_LEFT_THUMB.tif"
"?471 pixels","?1924 pixels","06_01_-0.5_8352_LEFT_THUMB.tif"
"?476 pixels","?1924 pixels","06_01_-0.9_8352_RIGHT_THUMB.tif"
"?307 pixels","?1149 pixels","08_01_2.5_8352_LEFT_THUMB.tif"
"?1149 pixels","?297 pixels","08_01_2.5_8352_RIGHT_THUMB.tif"
"?1134 pixels","?302 pixels","09_01_2.5_8352_LEFT_THUMB.tif"
"?1134 pixels","?295 pixels","09_01_2.5_8352_RIGHT_THUMB.tif"
