"Width","Height","Name"
"?1783 pixels","?470 pixels","52_01_-1.3_8492_LEFT_THUMB.tif"
"?1913 pixels","?470 pixels","52_01_-1_8492_RIGHT_THUMB.tif"
"?472 pixels","?1798 pixels","53_01_-0.5_8492_LEFT_THUMB.tif"
"?1863 pixels","?472 pixels","53_01_-1_8492_RIGHT_THUMB.tif"
"?1798 pixels","?473 pixels","54_01_-0.5_8492_LEFT_THUMB.tif"
"?1868 pixels","?473 pixels","54_01_-1_8492_RIGHT_THUMB.tif"
"?1328 pixels","?391 pixels","55_01_2.2_8492_LEFT_THUMB.tif"
"?1323 pixels","?377 pixels","55_01_2.2_8492_RIGHT_THUMB.tif"
"?1313 pixels","?389 pixels","56_01_1.8_8492_LEFT_THUMB.tif"
"?1298 pixels","?376 pixels","56_01_2.3_8492_RIGHT_THUMB.tif"
"?490 pixels","?1878 pixels","58_01_-3.4_8492_LEFT_THUMB.tif"
"?485 pixels","?1848 pixels","58_01_-3.4_8492_RIGHT_THUMB.tif"
"?1878 pixels","?489 pixels","59_01_-1.2_8492_LEFT_THUMB.tif"
"?1848 pixels","?485 pixels","59_01_-1.3_8492_RIGHT_THUMB.tif"
"?1883 pixels","?490 pixels","60_01_-1.2_8492_LEFT_THUMB.tif"
"?1843 pixels","?485 pixels","60_01_-1.2_8492_RIGHT_THUMB.tif"
"?1333 pixels","?350 pixels","61_01_2.2_8492_LEFT_THUMB.tif"
"?1403 pixels","?337 pixels","61_01_2.2_8492_RIGHT_THUMB.tif"
"?1313 pixels","?351 pixels","62_01_2.2_8492_LEFT_THUMB.tif"
"?1398 pixels","?336 pixels","62_01_2.3_8492_RIGHT_THUMB.tif"
"?1298 pixels","?351 pixels","63_01_2.2_8492_LEFT_THUMB.tif"
"?1383 pixels","?334 pixels","63_01_2.3_8492_RIGHT_THUMB.tif"
"?196 pixels","?713 pixels","64_01_1.3_8492_RIGHT_THUMB.tif"
"?888 pixels","?209 pixels","64_01_2.2_8492_LEFT_THUMB.tif"
"?738 pixels","?200 pixels","65_01_1.4_8492_RIGHT_THUMB.tif"
"?888 pixels","?212 pixels","65_01_2.2_8492_LEFT_THUMB.tif"
"?518 pixels","?1893 pixels","67_01_-1.2_8492_LEFT_THUMB.tif"
"?1883 pixels","?483 pixels","67_01_-1.8_8492_RIGHT_THUMB.tif"
"?513 pixels","?1893 pixels","68_01_-0.5_8492_LEFT_THUMB.tif"
"?478 pixels","?1893 pixels","68_01_-0.5_8492_RIGHT_THUMB.tif"
"?1753 pixels","?452 pixels","70_01_-2.9_8492_LEFT_THUMB.tif"
"?1748 pixels","?456 pixels","70_01_-3.4_8492_RIGHT_THUMB.tif"
"?1808 pixels","?461 pixels","71_01_-3.3_8492_LEFT_THUMB.tif"
"?1823 pixels","?464 pixels","71_01_-3.4_8492_RIGHT_THUMB.tif"
