"Width","Height","Name"
"?1643 pixels","?453 pixels","01_01_0.4_8488_LEFT_THUMB.tif"
"?1568 pixels","?466 pixels","01_01_0.7_8488_RIGHT_THUMB.tif"
"?1638 pixels","?453 pixels","02_01_0.4_8488_LEFT_THUMB.tif"
"?1578 pixels","?467 pixels","02_01_0.7_8488_RIGHT_THUMB.tif"
"?441 pixels","?1558 pixels","09_01_1.6_8488_LEFT_THUMB.tif"
"?1593 pixels","?426 pixels","09_01_1.6_8488_RIGHT_THUMB.tif"
"?1703 pixels","?464 pixels","10_01_0.4_8488_LEFT_THUMB.tif"
"?449 pixels","?1768 pixels","10_01_1.6_8488_RIGHT_THUMB.tif"
"?1673 pixels","?450 pixels","11_01_-0.1_8488_LEFT_THUMB.tif"
"?1768 pixels","?447 pixels","11_01_-0.1_8488_RIGHT_THUMB.tif"
"?1788 pixels","?443 pixels","12_01_-0.1_8488_RIGHT_THUMB.tif"
"?1663 pixels","?450 pixels","12_01_-0.2_8488_LEFT_THUMB.tif"
"?1693 pixels","?445 pixels","19_01_1.1_8488_RIGHT_THUMB.tif"
"?1663 pixels","?456 pixels","19_01_1_8488_LEFT_THUMB.tif"
"?437 pixels","?1728 pixels","21_01_1.6_8488_RIGHT_THUMB.tif"
"?1683 pixels","?450 pixels","21_01_1_8488_LEFT_THUMB.tif"
"?1308 pixels","?408 pixels","23_01_1.7_8488_LEFT_THUMB.tif"
"?1448 pixels","?401 pixels","23_01_2.2_8488_RIGHT_THUMB.tif"
"?1628 pixels","?449 pixels","29_01_1.1_8488_LEFT_THUMB.tif"
"?1663 pixels","?435 pixels","29_01_1.6_8488_RIGHT_THUMB.tif"
"?433 pixels","?1663 pixels","30_01_1.6_8488_RIGHT_THUMB.tif"
"?1608 pixels","?441 pixels","30_01_1_8488_LEFT_THUMB.tif"
"?788 pixels","?220 pixels","34_01_0.1_8488_LEFT_THUMB.tif"
"?713 pixels","?173 pixels","34_01_2.3_8488_RIGHT_THUMB.tif"
"?788 pixels","?217 pixels","35_01_0.1_8488_LEFT_THUMB.tif"
"?718 pixels","?173 pixels","35_01_2.2_8488_RIGHT_THUMB.tif"
"?1778 pixels","?506 pixels","37_01_-0.4_8488_LEFT_THUMB.tif"
"?1793 pixels","?502 pixels","37_01_-0.4_8488_RIGHT_THUMB.tif"
"?1768 pixels","?507 pixels","38_01_-0.2_8488_LEFT_THUMB.tif"
"?1788 pixels","?504 pixels","38_01_-0.8_8488_RIGHT_THUMB.tif"
"?2003 pixels","?476 pixels","39_01_-0.4_8488_RIGHT_THUMB.tif"
"?471 pixels","?1643 pixels","39_01_-1.3_8488_LEFT_THUMB.tif"
"?1823 pixels","?520 pixels","40_01_-1.3_8488_LEFT_THUMB.tif"
"?1878 pixels","?522 pixels","40_01_-3.5_8488_RIGHT_THUMB.tif"
"?1803 pixels","?521 pixels","41_01_-1.2_8488_LEFT_THUMB.tif"
"?1883 pixels","?525 pixels","41_01_-1.3_8488_RIGHT_THUMB.tif"
"?452 pixels","?1838 pixels","43_01_-3.4_8488_LEFT_THUMB.tif"
"?494 pixels","?1743 pixels","43_01_-3.4_8488_RIGHT_THUMB.tif"
"?1738 pixels","?469 pixels","44_01_-0.1_8488_RIGHT_THUMB.tif"
"?1758 pixels","?460 pixels","44_01_-0.4_8488_LEFT_THUMB.tif"
"?1828 pixels","?545 pixels","46_01_-0.5_8488_LEFT_THUMB.tif"
"?1853 pixels","?554 pixels","46_01_-0.7_8488_RIGHT_THUMB.tif"
"?1808 pixels","?544 pixels","47_01_-0.5_8488_LEFT_THUMB.tif"
"?1848 pixels","?557 pixels","47_01_-0.7_8488_RIGHT_THUMB.tif"
"?1788 pixels","?499 pixels","50_01_-0.5_8488_LEFT_THUMB.tif"
"?1938 pixels","?503 pixels","50_01_-0.5_8488_RIGHT_THUMB.tif"
"?1933 pixels","?504 pixels","51_01_-0.4_8488_RIGHT_THUMB.tif"
"?1778 pixels","?502 pixels","51_01_-0.5_8488_LEFT_THUMB.tif"
"?1853 pixels","?444 pixels","52_01_-0.2_8488_LEFT_THUMB.tif"
"?435 pixels","?1608 pixels","52_01_-3.2_8488_RIGHT_THUMB.tif"
"?1738 pixels","?460 pixels","53_01_-0.1_8488_LEFT_THUMB.tif"
"?460 pixels","?1748 pixels","53_01_-0.4_8488_RIGHT_THUMB.tif"
"?1733 pixels","?460 pixels","54_01_0_8488_LEFT_THUMB.tif"
"?1768 pixels","?461 pixels","54_01_0_8488_RIGHT_THUMB.tif"
"?1768 pixels","?491 pixels","55_01_-0.4_8488_LEFT_THUMB.tif"
"?1818 pixels","?491 pixels","55_01_-0.4_8488_RIGHT_THUMB.tif"
"?1768 pixels","?494 pixels","56_01_-0.4_8488_LEFT_THUMB.tif"
"?1813 pixels","?494 pixels","56_01_-0.4_8488_RIGHT_THUMB.tif"
"?1958 pixels","?464 pixels","57_01_-0.5_8488_RIGHT_THUMB.tif"
"?472 pixels","?1818 pixels","57_01_-1.1_8488_LEFT_THUMB.tif"
"?1908 pixels","?502 pixels","59_01_-0.7_8488_LEFT_THUMB.tif"
"?1778 pixels","?498 pixels","59_01_-0.9_8488_RIGHT_THUMB.tif"
"?1938 pixels","?498 pixels","60_01_-0.7_8488_LEFT_THUMB.tif"
"?1768 pixels","?492 pixels","60_01_-0.9_8488_RIGHT_THUMB.tif"
"?1758 pixels","?446 pixels","62_01_-0.1_8488_RIGHT_THUMB.tif"
"?451 pixels","?1743 pixels","62_01_-0.4_8488_LEFT_THUMB.tif"
"?1763 pixels","?445 pixels","63_01_-0.1_8488_LEFT_THUMB.tif"
"?1783 pixels","?439 pixels","63_01_-0.1_8488_RIGHT_THUMB.tif"
"?1773 pixels","?477 pixels","65_01_-0.1_8488_LEFT_THUMB.tif"
"?1763 pixels","?476 pixels","65_01_-0.1_8488_RIGHT_THUMB.tif"
"?2058 pixels","?499 pixels","67_01_-1.2_8488_LEFT_THUMB.tif"
"?1833 pixels","?493 pixels","67_01_-1.4_8488_RIGHT_THUMB.tif"
"?1818 pixels","?500 pixels","70_01_-1.3_8488_LEFT_THUMB.tif"
"?1983 pixels","?501 pixels","70_01_-3.5_8488_RIGHT_THUMB.tif"
"?1973 pixels","?502 pixels","71_01_-1.4_8488_RIGHT_THUMB.tif"
"?1848 pixels","?502 pixels","71_01_-2.1_8488_LEFT_THUMB.tif"
"?2193 pixels","?482 pixels","73_01_-3.4_8488_RIGHT_THUMB.tif"
"?1968 pixels","?488 pixels","73_01_0_8488_LEFT_THUMB.tif"
"?1958 pixels","?508 pixels","76_01_-1.2_8488_LEFT_THUMB.tif"
"?2008 pixels","?508 pixels","76_01_-1.2_8488_RIGHT_THUMB.tif"
"?1978 pixels","?507 pixels","77_01_-1.1_8488_RIGHT_THUMB.tif"
"?1978 pixels","?508 pixels","77_01_-1_8488_LEFT_THUMB.tif"
"?391 pixels","?1718 pixels","80_01_-3.4_8488_RIGHT_THUMB.tif"
"?473 pixels","?1878 pixels","80_01_-3.5_8488_LEFT_THUMB.tif"
"?456 pixels","?1828 pixels","81_01_-0.2_8488_LEFT_THUMB.tif"
"?453 pixels","?1843 pixels","81_01_0_8488_RIGHT_THUMB.tif"
"?1853 pixels","?477 pixels","82_01_-3.4_8488_LEFT_THUMB.tif"
"?1988 pixels","?489 pixels","82_01_-3.5_8488_RIGHT_THUMB.tif"
"?1198 pixels","?411 pixels","87_01_0.1_8488_RIGHT_THUMB.tif"
"?432 pixels","?1458 pixels","87_01_2.5_8488_LEFT_THUMB.tif"
"?948 pixels","?246 pixels","88_01_0.1_8488_LEFT_THUMB.tif"
"?833 pixels","?201 pixels","88_01_2.2_8488_RIGHT_THUMB.tif"
"?1388 pixels","?381 pixels","01_01_1.6_8489_LEFT_THUMB.tif"
"?1393 pixels","?376 pixels","01_01_2.2_8489_RIGHT_THUMB.tif"
"?1418 pixels","?419 pixels","07_01_2.2_8489_RIGHT_THUMB.tif"
"?431 pixels","?1643 pixels","07_01_2.3_8489_LEFT_THUMB.tif"
"?419 pixels","?1418 pixels","08_01_1.6_8489_RIGHT_THUMB.tif"
"?1628 pixels","?431 pixels","08_01_1_8489_LEFT_THUMB.tif"
"?1403 pixels","?418 pixels","09_01_1.6_8489_RIGHT_THUMB.tif"
"?1633 pixels","?429 pixels","09_01_1_8489_LEFT_THUMB.tif"
"?1968 pixels","?442 pixels","100_01_-3.5_8489_LEFT_THUMB.tif"
"?1833 pixels","?422 pixels","100_01_-3.5_8489_RIGHT_THUMB.tif"
"?1968 pixels","?446 pixels","101_01_-2.8_8489_LEFT_THUMB.tif"
"?1838 pixels","?427 pixels","101_01_-3.5_8489_RIGHT_THUMB.tif"
"?1833 pixels","?418 pixels","103_01_-3.3_8489_RIGHT_THUMB.tif"
"?1963 pixels","?440 pixels","103_01_-3.5_8489_LEFT_THUMB.tif"
"?1838 pixels","?420 pixels","104_01_-3.3_8489_RIGHT_THUMB.tif"
